TRANS_DATE,DIA,SPY,QQQ,GM,MSFT,R_DIA,R_SPY,R_QQQ,R_GM,R_MSFT
20030102,86.1563,91.0625,25.3750,38.9375,26.8438,,,,,
20030103,86.3438,91.3438,25.6563,38.5313,26.8750,,,,,
20030106,87.6563,92.9375,26.3125,39.4688,27.3750,,,,,
20030107,87.7188,92.7188,26.6250,39.8125,27.8750,,,,,
20030108,86.1563,91.3750,25.8750,38.1875,27.0938,,,,,
20030109,87.7500,92.7813,26.6875,39.5000,27.8750,,,,,
20030110,87.9688,93.0313,27.0938,39.0938,27.9375,,,,,
20030113,88.0625,93.0000,26.9375,39.7188,28.1875,,,,,
20030114,88.4375,93.3438,27.2188,40.5000,28.5000,,,,,
20030115,87.6563,92.3750,26.7188,40.1875,28.1250,,,,,
20030116,87.2813,91.8750,26.3750,39.7188,27.6563,,,,,
20030117,86.0938,90.6563,25.2813,40.0000,25.7188,,,,,
20030121,84.6563,89.2500,25.0000,39.6250,25.6563,,,,,
20030122,83.3438,88.1563,24.9063,37.7500,25.5000,,,,,
20030123,83.4375,88.6875,25.5000,38.7813,26.1250,,,,,
20030124,81.3750,86.3750,24.8125,37.5313,24.9063,,,,,
20030127,80.1250,85.1875,24.5000,36.9688,24.5625,,,,,
20030128,80.7500,85.8125,24.8125,37.3750,24.4063,,,,,
20030129,81.0625,86.4688,25.1250,37.2500,24.9375,,,,,
20030130,79.2813,84.4063,24.5313,35.9063,24.0938,,,,,
20030131,80.8125,86.0313,24.4375,36.3125,23.7188,,,,,
20030203,81.0938,86.2188,24.4688,36.7500,24.2500,,,,,
20030204,80.2813,85.1563,24.1563,36.0938,23.6250,,,,,
20030205,80.0938,84.8438,24.0625,36.4688,23.4688,,,,,
20030206,79.6563,84.4375,24.1875,36.0938,23.6875,,,,,
20030207,78.8438,83.4063,23.7813,36.0000,23.2813,,,,,
20030210,79.4063,84.0000,24.0000,36.3438,23.6875,,,,,
20030211,78.6875,83.4063,24.1250,36.0313,23.2188,,,,,
20030212,77.7188,82.0938,23.8125,34.0000,23.2188,,,,,
20030213,77.8750,82.2500,23.7500,33.6250,23.5000,,,,,
20030214,79.5938,84.1250,24.4688,33.0938,24.1250,,,,,
20030218,80.7500,85.6875,25.2500,34.4375,24.9375,,,,,
20030219,80.5313,85.1563,25.0625,33.8750,24.5000,,,,,
20030220,79.5938,84.3125,24.9688,33.5938,24.1250,,,,,
20030221,80.2188,85.1563,25.1563,34.0000,24.5938,,,,,
20030224,78.6875,83.7813,24.7188,33.2500,24.0625,,,,,
20030225,79.3125,84.4688,24.7500,33.6250,24.1875,,,,,
20030226,78.2500,83.2188,24.2188,33.3750,23.5938,,,,,
20030227,78.9688,84.2813,24.7500,33.7813,23.5625,,,,,
20030228,79.2813,84.8750,25.1563,33.7500,23.6875,,,,,
20030303,78.5625,84.0625,24.6250,33.1563,23.5313,,,,,
20030304,77.2188,82.7188,24.4375,31.2500,23.0625,,,,,
20030305,77.8125,83.4375,24.5313,31.5938,23.4375,,,,,
20030306,76.9375,82.7188,24.4688,31.2188,23.2500,,,,,
20030307,77.5313,83.3125,24.5313,31.0938,23.5313,,,,,
20030310,75.7500,81.3125,24.0000,30.6563,22.9375,,,,,
20030311,75.4063,80.5313,23.8125,29.9063,22.7813,,,,,
20030312,75.7500,81.0313,24.2188,30.6250,23.3750,,,,,
20030313,78.4063,83.7813,25.5625,32.5938,24.6875,,,,,
20030314,78.8438,84.1563,25.6875,32.0000,24.8438,,,,,
20030317,81.4375,86.6875,26.6250,33.1875,25.8438,,,,,
20030318,82.1250,87.2813,26.9063,34.0938,26.0313,,,,,
20030319,82.9063,87.9375,26.6875,34.0313,26.3125,,,,,
20030320,83.0938,88.1250,26.8125,34.1875,26.2500,,,,,
20030321,85.1250,89.6563,27.1563,35.2500,26.5625,,,,,
20030324,82.2188,86.6875,26.0313,33.8750,25.2813,,,,,
20030325,82.7813,87.5000,26.4063,34.2500,25.4688,,,,,
20030326,82.3750,87.0625,26.5313,34.3125,25.2500,,,,,
20030327,82.0000,87.1250,26.3438,34.1875,25.0313,,,,,
20030328,81.5625,86.6875,26.0625,33.9688,24.6563,,,,,
20030331,79.8125,84.7188,25.2500,33.5938,24.1875,,,,,
20030401,80.7813,86.0313,25.4375,33.7813,24.3438,,,,,
20030402,82.7500,88.0938,26.3438,34.6875,25.7188,,,,,
20030403,82.4375,87.8125,26.4688,35.0000,25.6875,,,,,
20030404,82.8750,88.2188,26.0313,34.8750,25.0625,,,,,
20030407,82.9063,88.0313,26.0625,35.3750,25.1563,,,,,
20030408,83.1875,88.1875,26.0313,34.7188,25.5625,,,,,
20030409,82.2188,87.0000,25.4375,34.4688,24.5625,,,,,
20030410,82.3438,87.5000,25.7188,34.5000,24.5625,,,,,
20030411,82.1875,87.1250,25.5000,34.8125,24.1875,,,,,
20030414,83.8125,88.9375,26.0000,36.0938,24.7500,,,,,
20030415,84.1563,89.4688,26.1875,35.1563,24.5938,,,,,
20030416,82.6875,88.2500,26.2188,35.0313,24.9063,,,,,
20030417,83.4688,89.5313,26.8125,35.3438,25.5000,,,,,
20030421,83.5000,89.6250,26.9063,35.7188,25.1875,,,,,
20030422,84.9375,91.4375,27.3750,37.1250,25.7188,,,,,
20030423,85.2188,92.1563,27.6250,37.5000,25.7188,,,,,
